Student_ID,Region,Gender,Enrollment_Type,Subject_Group,SSC_I_Marks,SSC_II_Marks,HSSC_I_Marks,Attendance_Rate,Parent_Education_Level,Parent_Income,Study_Hours,Extra_Tuition,School_Type,Previous_Failures,Co_Curricular_Activities,Exam_Attempts,HSSC_II_Marks,HSSC_II_Grade
61,Mohmand,Male,Regular,Science,662,749,641,63.22,College,High,3.0,No,Private,0,No,1,487,D
62,Peshawar,Male,Regular,Science,495,502,831,64.28,High School,Medium,4.85,Yes,Public,1,No,1,784,A
63,Charsadda,Female,Regular,Arts,596,581,842,57.04,High School,Medium,3.22,No,Public,1,Yes,1,331,Fail
64,Charsadda,Male,Regular,Science,345,620,472,97.2,College,Medium,4.66,No,Private,1,No,2,840,A-ONE
65,Peshawar,Female,Regular,Science,471,415,766,78.41,Graduate,Low,3.56,Yes,Public,2,No,1,383,Fail
66,Peshawar,Female,Private,Arts,428,460,377,76.94,High School,High,2.25,Yes,Public,2,Yes,1,605,B
67,Khyber,Male,Private,Science,507,629,535,94.28,College,Low,1.75,Yes,Private,0,No,2,701,A
68,Chitral,Male,Regular,Arts,848,631,501,98.44,High School,Low,4.75,No,Public,0,No,1,724,A
69,Chitral,Female,Private,Science,700,505,788,77.59,High School,Medium,4.85,Yes,Public,1,Yes,1,839,A-ONE
70,Charsadda,Male,Private,Science,477,570,762,91.53,College,High,2.18,No,Private,1,No,1,758,A
71,Charsadda,Male,Regular,Arts,847,517,554,59.96,High School,Medium,3.79,No,Private,1,Yes,1,505,C
72,Chitral,Female,Private,Arts,658,813,481,79.6,Graduate,High,4.6,No,Public,1,No,2,532,C
73,Charsadda,Male,Regular,Arts,688,761,517,91.08,College,High,2.38,Yes,Public,2,Yes,2,365,Fail
74,Mohmand,Male,Regular,Arts,500,720,379,77.93,High School,High,3.0,Yes,Private,0,No,2,762,A
75,Peshawar,Male,Regular,Arts,675,388,630,98.47,College,High,4.87,Yes,Public,1,No,1,707,A
76,Peshawar,Male,Private,Arts,653,710,579,60.6,College,Medium,4.81,No,Private,2,Yes,1,641,B
77,Peshawar,Female,Regular,Arts,691,534,439,72.02,College,Medium,3.19,Yes,Public,2,Yes,1,482,D
78,Peshawar,Female,Private,Science,336,522,493,63.52,College,Medium,3.68,No,Public,1,Yes,2,783,A
79,Khyber,Male,Regular,Science,522,394,649,92.98,Graduate,Medium,4.18,No,Public,2,No,1,734,A
80,Peshawar,Male,Regular,Arts,750,683,791,73.91,College,High,2.6,Yes,Private,0,No,2,610,B
81,Mohmand,Male,Regular,Arts,817,775,638,68.56,High School,Low,4.97,No,Public,1,No,2,804,A-ONE
82,Peshawar,Male,Private,Science,498,768,838,78.01,College,Medium,2.2,No,Public,0,Yes,1,493,D
83,Mohmand,Male,Private,Arts,580,703,518,51.08,College,Low,2.95,No,Private,0,No,2,694,B
84,Charsadda,Female,Regular,Arts,571,818,509,66.92,Graduate,Medium,1.78,No,Private,1,Yes,1,398,Fail
85,Charsadda,Male,Private,Arts,550,610,340,95.98,Graduate,Low,2.47,No,Public,1,Yes,1,484,D
86,Mohmand,Male,Private,Science,457,432,752,54.85,High School,High,1.57,No,Public,2,No,2,690,B
87,Mohmand,Female,Regular,Arts,688,522,508,84.98,College,Medium,2.42,No,Public,1,No,2,309,Fail
88,Charsadda,Male,Private,Science,499,329,749,73.47,College,Low,3.58,No,Public,2,No,1,827,A-ONE
89,Charsadda,Female,Private,Science,691,609,806,91.53,High School,Medium,1.95,Yes,Public,2,Yes,2,764,A
90,Mohmand,Male,Regular,Science,382,634,657,82.86,Graduate,High,3.38,No,Private,0,No,1,399,Fail
91,Peshawar,Male,Regular,Science,497,720,581,89.25,High School,Medium,1.97,No,Public,0,Yes,1,550,C
92,Mohmand,Male,Private,Arts,759,410,499,70.74,High School,Medium,2.29,No,Private,2,No,2,557,C
93,Charsadda,Male,Regular,Science,450,782,846,64.98,College,Medium,3.5,Yes,Private,2,Yes,1,438,D
94,Peshawar,Male,Private,Science,658,789,446,73.37,College,High,3.73,Yes,Public,1,Yes,1,510,C
95,Khyber,Female,Private,Arts,458,328,542,54.21,Graduate,Low,2.85,No,Private,1,No,1,777,A
96,Khyber,Male,Private,Arts,352,454,536,81.58,Graduate,Low,1.37,Yes,Private,1,No,2,380,Fail
97,Peshawar,Female,Regular,Science,801,796,427,68.74,Graduate,High,2.61,Yes,Private,2,No,2,626,B
98,Mohmand,Female,Private,Arts,772,301,774,67.27,High School,High,3.92,No,Private,2,No,1,846,A-ONE
99,Khyber,Female,Regular,Science,785,442,595,85.45,High School,Low,2.98,Yes,Private,2,Yes,2,302,Fail
100,Chitral,Female,Regular,Arts,551,538,649,86.44,Graduate,Low,4.11,Yes,Public,0,Yes,1,357,Fail
101,Chitral,Male,Private,Arts,453,408,419,74.23,College,High,2.42,Yes,Public,2,Yes,2,711,A
102,Khyber,Female,Regular,Arts,365,613,333,99.74,Graduate,High,1.65,Yes,Public,1,No,2,484,D
103,Peshawar,Male,Regular,Arts,742,712,639,75.26,College,Medium,4.37,Yes,Public,0,Yes,1,470,D
104,Peshawar,Female,Private,Arts,756,314,816,53.08,College,High,4.08,Yes,Public,0,No,1,747,A
105,Peshawar,Female,Regular,Science,439,647,359,75.87,Graduate,High,3.73,No,Public,2,Yes,2,350,Fail
106,Peshawar,Male,Private,Arts,601,531,597,85.88,High School,Medium,3.34,Yes,Public,0,Yes,2,615,B
107,Chitral,Female,Regular,Arts,691,680,692,98.5,Graduate,Low,3.53,Yes,Public,1,No,1,821,A-ONE
108,Mohmand,Male,Regular,Arts,814,395,735,91.84,High School,Low,1.28,No,Private,1,No,2,376,Fail
109,Mohmand,Male,Regular,Arts,604,562,662,96.77,Graduate,Low,2.31,No,Public,2,No,2,329,Fail
110,Peshawar,Female,Private,Science,829,564,319,71.33,College,Low,1.31,No,Private,0,Yes,2,774,A
111,Khyber,Male,Private,Arts,679,363,337,80.72,College,Medium,1.25,No,Private,0,No,1,405,D
112,Charsadda,Male,Private,Science,798,655,757,86.49,Graduate,High,4.97,Yes,Private,1,Yes,1,761,A
113,Chitral,Male,Regular,Science,598,677,512,85.71,High School,High,4.62,No,Private,1,Yes,1,419,D
114,Khyber,Male,Private,Science,835,747,472,65.91,College,Medium,3.41,Yes,Private,2,No,1,809,A-ONE
115,Charsadda,Female,Regular,Arts,773,552,588,53.65,Graduate,Low,1.31,Yes,Public,1,No,1,419,D
116,Peshawar,Male,Private,Arts,812,626,334,70.08,Graduate,Low,2.95,No,Public,0,Yes,2,825,A-ONE
117,Khyber,Male,Private,Arts,586,711,687,52.01,College,Medium,3.63,No,Private,0,Yes,1,810,A-ONE
118,Mohmand,Male,Private,Science,407,637,459,55.39,Graduate,Medium,1.46,No,Private,0,Yes,1,776,A
119,Mohmand,Female,Private,Arts,532,732,401,90.37,College,Low,2.32,No,Public,2,No,1,439,D
120,Chitral,Female,Private,Science,639,374,593,84.04,High School,High,3.77,Yes,Private,0,No,1,526,C
121,Chitral,Male,Regular,Arts,743,332,845,82.96,College,Medium,2.33,Yes,Private,1,No,1,554,C
122,Peshawar,Female,Private,Science,590,569,588,61.02,High School,Low,4.79,Yes,Public,0,No,1,666,B
123,Khyber,Male,Regular,Science,399,532,795,51.42,High School,Low,3.68,No,Public,0,No,2,386,Fail
124,Mohmand,Male,Private,Science,534,778,396,83.46,Graduate,Medium,3.47,No,Private,1,No,2,595,C
125,Mohmand,Female,Regular,Arts,797,818,526,85.82,High School,High,1.24,No,Public,2,Yes,1,600,B
126,Mohmand,Female,Private,Science,627,341,489,95.12,Graduate,High,4.42,No,Private,2,No,2,443,D
127,Charsadda,Male,Regular,Science,524,722,412,99.6,High School,Low,1.08,Yes,Public,1,Yes,2,627,B
128,Chitral,Male,Regular,Arts,326,391,502,69.6,College,High,2.84,Yes,Private,2,Yes,2,445,D
129,Khyber,Male,Private,Arts,412,455,764,89.56,College,Low,3.41,No,Private,1,Yes,2,735,A
130,Khyber,Male,Regular,Arts,496,651,435,88.58,Graduate,Low,1.72,No,Public,2,No,1,365,Fail
131,Peshawar,Male,Regular,Arts,653,322,472,51.45,Graduate,Medium,2.0,No,Private,1,Yes,2,574,C
132,Charsadda,Female,Private,Science,584,405,654,80.69,High School,High,4.42,Yes,Private,1,No,2,808,A-ONE
133,Peshawar,Male,Private,Science,365,410,560,59.57,High School,Medium,3.17,No,Public,2,Yes,1,456,D
134,Peshawar,Male,Private,Arts,798,773,411,53.81,Graduate,Low,3.65,No,Public,0,No,1,663,B
135,Chitral,Female,Regular,Science,565,694,466,92.28,High School,Medium,1.58,No,Public,0,Yes,2,645,B
136,Chitral,Male,Private,Arts,383,775,769,88.55,Graduate,High,4.34,No,Public,1,No,2,470,D
137,Mohmand,Female,Private,Science,821,638,689,67.25,High School,Low,3.21,Yes,Public,1,Yes,2,511,C
138,Chitral,Female,Regular,Arts,742,510,579,72.38,Graduate,High,1.17,Yes,Private,1,No,2,448,D
139,Mohmand,Male,Private,Science,796,338,478,64.82,High School,High,4.61,No,Public,0,Yes,2,332,Fail
140,Charsadda,Male,Regular,Arts,780,388,686,61.22,College,High,2.1,No,Public,0,No,1,676,B
141,Peshawar,Male,Regular,Arts,357,339,567,64.22,Graduate,Low,2.78,No,Private,1,No,1,563,C
142,Khyber,Male,Regular,Arts,672,576,300,95.11,Graduate,High,4.67,No,Private,2,Yes,2,826,A-ONE
143,Charsadda,Female,Private,Arts,332,606,805,61.61,College,Low,1.87,Yes,Public,2,Yes,1,710,A
144,Peshawar,Male,Private,Arts,574,354,630,89.17,Graduate,High,2.16,No,Public,0,Yes,1,834,A-ONE
145,Chitral,Male,Private,Science,491,517,330,60.97,High School,Low,1.82,Yes,Private,1,No,1,497,D
146,Charsadda,Female,Private,Science,545,614,419,95.67,College,Medium,3.31,No,Public,1,Yes,1,691,B
147,Khyber,Male,Regular,Arts,305,302,697,53.61,Graduate,Medium,4.51,Yes,Public,2,No,2,424,D
148,Khyber,Male,Regular,Science,317,672,677,93.24,High School,High,4.76,Yes,Private,1,No,1,583,C
149,Peshawar,Female,Private,Arts,438,622,835,67.21,Graduate,Medium,1.55,No,Private,2,Yes,2,463,D
150,Chitral,Female,Regular,Arts,395,431,560,89.29,High School,High,3.31,No,Private,2,No,1,574,C
151,Chitral,Male,Regular,Arts,836,707,759,99.11,College,Medium,4.98,No,Private,0,No,1,382,Fail
152,Charsadda,Female,Private,Science,541,631,637,83.85,College,Medium,4.83,No,Private,2,Yes,2,529,C
153,Khyber,Female,Private,Science,418,720,538,57.28,College,Low,4.36,Yes,Public,0,Yes,2,437,D
154,Peshawar,Male,Regular,Arts,551,784,559,93.16,Graduate,High,2.44,Yes,Private,1,No,1,414,D
155,Peshawar,Male,Private,Arts,506,572,592,66.19,Graduate,Medium,3.63,Yes,Public,2,No,1,744,A
156,Mohmand,Female,Regular,Science,431,760,796,61.31,College,High,2.49,No,Private,0,No,1,586,C
157,Peshawar,Female,Private,Science,676,650,312,51.47,Graduate,High,4.31,Yes,Private,1,Yes,2,807,A-ONE
158,Khyber,Male,Regular,Science,608,574,687,95.72,Graduate,Medium,3.96,No,Private,0,No,2,572,C
159,Khyber,Female,Private,Arts,506,577,558,51.05,College,Low,3.52,Yes,Private,2,Yes,2,664,B
160,Chitral,Male,Regular,Science,820,674,704,98.67,High School,Medium,2.63,No,Public,0,Yes,2,633,B
161,Peshawar,Male,Private,Science,674,471,578,75.03,High School,High,1.82,Yes,Public,1,Yes,1,374,Fail
162,Peshawar,Male,Private,Science,706,805,811,93.1,High School,High,3.97,Yes,Private,2,No,2,498,D
163,Peshawar,Female,Private,Science,559,504,592,79.37,Graduate,Low,2.63,Yes,Public,0,Yes,1,555,C
164,Charsadda,Female,Regular,Arts,818,771,624,87.45,Graduate,Medium,4.94,Yes,Private,2,No,1,721,A
165,Peshawar,Male,Regular,Arts,760,542,815,98.1,Graduate,Low,3.45,No,Private,1,Yes,2,553,C
166,Khyber,Female,Regular,Science,747,594,586,96.37,Graduate,Low,4.66,No,Private,2,Yes,2,361,Fail
167,Khyber,Female,Regular,Science,704,674,456,66.09,Graduate,Low,4.74,No,Private,0,No,1,840,A-ONE
168,Chitral,Male,Regular,Arts,635,584,759,59.37,College,Medium,4.92,Yes,Private,0,Yes,2,478,D
169,Peshawar,Female,Private,Arts,848,476,829,70.35,Graduate,High,2.87,Yes,Private,0,Yes,2,733,A
170,Chitral,Male,Regular,Science,662,471,835,87.11,High School,High,2.53,Yes,Private,0,Yes,1,308,Fail
171,Mohmand,Male,Regular,Arts,591,423,476,92.95,High School,Medium,3.49,Yes,Public,2,Yes,1,698,B
172,Chitral,Female,Regular,Science,784,654,697,55.77,High School,Medium,1.68,No,Public,2,No,1,423,D
173,Mohmand,Male,Regular,Arts,302,551,608,95.83,High School,Medium,1.28,No,Private,1,No,2,553,C
174,Peshawar,Female,Private,Arts,733,590,692,65.19,Graduate,Low,2.4,No,Private,0,No,1,608,B
175,Khyber,Male,Private,Science,731,753,613,92.94,College,High,1.76,Yes,Public,2,No,2,473,D
176,Mohmand,Male,Private,Science,819,348,800,61.02,High School,Low,4.61,No,Private,0,No,1,362,Fail
177,Charsadda,Male,Private,Arts,334,467,577,84.45,Graduate,High,4.14,No,Private,0,No,1,569,C
178,Peshawar,Male,Private,Arts,486,744,798,85.96,High School,Low,2.5,Yes,Private,2,No,1,664,B
179,Khyber,Female,Private,Science,349,774,372,89.05,College,High,4.87,Yes,Public,2,No,1,663,B
180,Mohmand,Female,Private,Arts,801,598,591,78.24,High School,Low,1.12,No,Private,0,Yes,2,513,C
181,Mohmand,Male,Private,Science,306,601,509,73.55,College,Low,2.28,No,Private,0,Yes,2,746,A
182,Chitral,Male,Private,Science,408,388,312,59.3,Graduate,Medium,3.05,Yes,Private,1,Yes,2,338,Fail
183,Khyber,Male,Regular,Arts,422,497,418,90.77,High School,Low,3.07,No,Public,1,Yes,1,569,C
184,Peshawar,Female,Regular,Arts,661,572,395,78.24,Graduate,Medium,4.25,No,Private,0,No,1,460,D
185,Peshawar,Female,Private,Science,758,330,580,63.21,Graduate,Low,4.41,Yes,Public,2,Yes,2,358,Fail
186,Charsadda,Female,Regular,Arts,340,814,493,61.35,College,Medium,3.06,Yes,Public,0,No,2,811,A-ONE
187,Khyber,Female,Private,Arts,365,606,818,87.71,College,Medium,2.44,Yes,Public,0,Yes,2,811,A-ONE
188,Chitral,Female,Private,Arts,841,440,613,75.36,High School,High,2.29,No,Private,0,No,1,768,A
189,Mohmand,Female,Regular,Science,420,366,658,55.97,Graduate,High,1.92,Yes,Public,0,No,1,335,Fail
190,Peshawar,Male,Private,Arts,466,331,431,84.21,High School,Medium,1.78,Yes,Public,2,Yes,1,375,Fail
191,Chitral,Female,Private,Science,792,636,383,56.46,College,Medium,2.73,No,Public,0,Yes,1,525,C
192,Peshawar,Female,Regular,Science,513,792,848,72.92,High School,Medium,2.29,Yes,Private,1,Yes,1,448,D
193,Charsadda,Female,Private,Arts,561,433,467,99.37,Graduate,Low,2.88,No,Public,0,Yes,1,656,B
194,Mohmand,Female,Regular,Science,429,554,630,82.25,High School,Low,4.12,No,Private,0,No,1,364,Fail
195,Khyber,Male,Private,Arts,505,302,709,51.66,High School,Low,3.88,No,Public,2,No,2,631,B
196,Khyber,Female,Regular,Science,575,591,605,69.8,High School,High,1.44,No,Private,1,Yes,2,362,Fail
197,Charsadda,Male,Private,Science,331,555,743,95.77,College,Low,4.34,No,Private,2,Yes,1,482,D
198,Chitral,Male,Regular,Arts,452,466,507,92.01,College,Low,2.13,Yes,Private,0,No,1,795,A
199,Chitral,Female,Regular,Arts,488,769,564,84.03,Graduate,Medium,3.83,No,Public,1,No,1,309,Fail
200,Chitral,Female,Private,Arts,304,800,617,86.32,Graduate,High,3.42,Yes,Private,0,Yes,2,702,A
201,Chitral,Female,Private,Arts,515,356,597,51.25,Graduate,High,4.63,No,Private,1,Yes,1,380,Fail
202,Peshawar,Female,Private,Science,803,640,712,50.97,High School,Medium,4.14,No,Public,1,Yes,2,733,A
203,Mohmand,Male,Private,Science,681,450,486,77.78,Graduate,Low,3.58,No,Private,2,No,2,499,D
204,Khyber,Female,Regular,Arts,437,307,645,51.53,High School,Low,4.41,Yes,Public,2,Yes,2,418,D
205,Khyber,Male,Private,Science,551,484,605,75.23,Graduate,High,4.42,Yes,Public,2,Yes,2,602,B
206,Mohmand,Male,Regular,Science,303,562,708,85.74,High School,Medium,4.72,No,Private,2,No,1,584,C
207,Peshawar,Male,Private,Arts,522,743,759,74.26,Graduate,Medium,2.44,No,Public,0,Yes,1,710,A
208,Khyber,Male,Private,Science,793,820,532,63.1,High School,High,3.34,Yes,Private,2,No,2,704,A
209,Charsadda,Female,Regular,Arts,417,493,621,86.45,College,Medium,1.55,No,Public,1,No,1,377,Fail
210,Charsadda,Female,Regular,Arts,538,756,570,89.74,Graduate,Medium,1.96,No,Private,0,Yes,2,710,A
211,Peshawar,Male,Private,Science,828,351,684,95.63,Graduate,Medium,2.53,Yes,Public,0,No,2,527,C
212,Charsadda,Female,Private,Science,820,327,529,90.81,College,Low,1.09,Yes,Private,2,No,2,828,A-ONE
213,Peshawar,Male,Regular,Science,729,469,560,60.72,High School,Low,4.65,Yes,Public,2,No,1,496,D
214,Charsadda,Female,Private,Arts,815,602,687,72.86,Graduate,High,1.77,No,Public,1,Yes,1,525,C
215,Peshawar,Male,Regular,Arts,617,726,306,69.09,Graduate,High,4.9,Yes,Public,1,Yes,1,407,D
216,Chitral,Male,Private,Arts,504,677,478,52.22,Graduate,High,3.51,No,Public,1,Yes,1,798,A
217,Mohmand,Female,Regular,Arts,519,727,446,81.89,High School,Medium,3.24,No,Private,0,Yes,2,379,Fail
218,Mohmand,Female,Private,Science,725,534,477,76.45,Graduate,Low,1.32,Yes,Private,2,Yes,1,494,D
219,Chitral,Male,Regular,Arts,702,548,362,68.43,College,Medium,4.99,No,Public,2,No,2,574,C
220,Mohmand,Female,Regular,Arts,396,318,780,81.95,Graduate,Low,1.45,Yes,Private,1,No,2,538,C
221,Peshawar,Female,Regular,Science,636,545,766,70.2,College,High,4.17,No,Public,0,No,2,663,B
222,Peshawar,Male,Regular,Arts,561,825,309,68.32,College,Medium,3.46,No,Private,2,No,2,528,C
223,Mohmand,Female,Regular,Science,557,797,711,87.46,High School,High,4.4,No,Private,0,No,2,650,B
224,Peshawar,Male,Private,Arts,722,423,415,99.57,High School,Medium,3.44,No,Private,2,Yes,1,437,D
225,Charsadda,Female,Private,Science,712,827,828,58.49,College,Low,4.21,Yes,Private,1,Yes,1,808,A-ONE
226,Charsadda,Male,Private,Arts,695,640,790,53.15,College,High,4.49,No,Public,2,No,1,396,Fail
227,Charsadda,Female,Private,Science,400,791,761,96.34,Graduate,High,2.51,Yes,Private,2,No,2,777,A
228,Khyber,Female,Regular,Arts,809,835,337,72.61,Graduate,Low,1.04,No,Private,2,Yes,2,669,B
229,Peshawar,Male,Regular,Arts,503,661,463,64.29,Graduate,Medium,2.55,No,Public,2,No,2,463,D
230,Khyber,Male,Regular,Arts,644,502,493,51.88,Graduate,Low,1.25,Yes,Private,0,Yes,1,431,D
231,Charsadda,Female,Private,Science,836,523,408,96.16,High School,Medium,3.64,Yes,Public,0,No,1,678,B
232,Charsadda,Male,Private,Arts,501,616,645,84.01,High School,High,1.73,Yes,Private,1,Yes,1,687,B
233,Peshawar,Female,Private,Arts,713,387,501,87.96,College,Medium,2.27,Yes,Public,2,No,2,303,Fail
234,Peshawar,Female,Regular,Arts,787,608,528,76.06,High School,Medium,2.63,No,Private,2,Yes,2,558,C
235,Mohmand,Male,Private,Arts,608,334,438,85.38,High School,Medium,4.44,Yes,Public,1,No,1,346,Fail
236,Khyber,Female,Private,Science,638,531,348,77.61,College,Medium,4.48,Yes,Private,0,Yes,2,605,B
237,Charsadda,Male,Regular,Arts,511,576,799,76.84,High School,Medium,2.98,Yes,Private,1,Yes,1,830,A-ONE
238,Mohmand,Female,Regular,Arts,331,526,625,74.87,Graduate,Low,2.46,No,Private,0,Yes,1,316,Fail
239,Chitral,Male,Private,Science,709,796,428,66.7,College,High,2.47,Yes,Private,0,No,2,474,D
240,Charsadda,Female,Regular,Arts,644,350,491,67.76,College,Medium,3.12,No,Public,2,Yes,1,679,B
241,Chitral,Female,Regular,Arts,741,564,514,62.42,Graduate,High,2.81,No,Public,1,No,2,774,A
242,Khyber,Female,Private,Arts,347,344,348,53.26,Graduate,High,1.27,No,Private,1,Yes,1,388,Fail
243,Charsadda,Female,Regular,Arts,699,842,648,80.07,Graduate,High,4.49,No,Private,0,Yes,2,345,Fail
244,Chitral,Male,Regular,Science,459,425,398,97.58,High School,High,2.62,No,Private,0,No,2,312,Fail
